Date,Price
2015/02/25,152.02,
2015/02/24,152.09,
2015/02/23,152.05,
2015/02/20,151.81,
2015/02/19,151.65,
2015/02/18,151.38,
2015/02/17,151.83,
2015/02/16,152.15,
2015/02/13,151.60,
2015/02/12,151.11,
2015/02/11,150.32,
2015/02/10,150.26,
2015/02/09,150.11,
2015/02/06,150.45,
2015/02/05,150.72,
2015/02/04,150.52,
2015/02/03,150.58,
2015/02/02,149.54,
2015/01/30,149.90,
2015/01/29,150.04,
2015/01/28,150.72,
2015/01/27,149.95,
2015/01/26,149.10,
2015/01/23,149.59,
2015/01/22,149.96,
2015/01/21,149.80,
2015/01/20,149.80,
2015/01/19,148.58,
2015/01/16,148.00,
2015/01/15,148.43,
2015/01/14,148.24,
2015/01/13,148.90,
2015/01/12,148.91,
2015/01/09,148.82,
2015/01/08,148.95,
2015/01/07,149.44,
2015/01/06,149.36,
2015/01/05,148.98,
2015/01/02,149.69,
2014/12/31,150.57,
2014/12/30,150.56,
2014/12/29,150.77,
2014/12/24,150.02,
2014/12/23,149.60,
2014/12/22,149.28,
2014/12/19,148.65,
2014/12/18,148.29,
2014/12/17,148.56,
2014/12/15,148.45,
2014/12/12,147.80,
2014/12/11,148.02,
2014/12/10,148.30,
2014/12/09,148.51,
2014/12/08,147.92,
2014/12/05,147.86,
2014/12/04,147.36,
2014/12/03,146.76,
2014/12/02,146.47,
2014/12/01,145.96,
2014/11/28,147.35,
2014/11/27,147.13,
2014/11/26,146.86,
2014/11/25,147.18,
2014/11/24,147.23,
2014/11/21,147.22,
2014/11/20,146.20,
2014/11/19,146.54,
2014/11/18,145.94,
2014/11/17,145.46,
2014/11/14,145.65,
2014/11/13,146.64,
2014/11/12,147.25,
2014/11/11,146.92,
2014/11/10,147.13,
2014/11/07,146.34,
2014/11/06,146.10,
2014/11/05,146.22,
2014/11/04,146.78,
2014/11/03,146.74,
2014/10/31,145.60,
2014/10/30,145.03,
2014/10/29,145.13,
2014/10/28,144.97,
2014/10/27,144.42,
2014/10/24,144.31,
2014/10/23,144.27,
2014/10/22,144.18,
2014/10/21,143.91,
2014/10/20,143.78,
2014/10/17,142.95,
2014/10/16,142.07,
2014/10/15,142.96,
2014/10/14,143.63,
2014/10/13,143.60,
2014/10/10,143.97,
2014/10/09,144.77,
2014/10/08,145.47,
2014/10/07,145.49,
2014/10/06,145.19,
2014/10/03,145.08,
2014/10/02,145.62,
2014/10/01,146.37,
2014/09/30,146.90,
2014/09/29,146.93,
2014/09/26,147.18,
2014/09/25,147.25,
2014/09/23,147.45,
2014/09/22,148.53,
2014/09/19,149.45,
2014/09/18,148.99,
2014/09/17,148.99,
2014/09/16,148.62,
2014/09/15,148.97,
2014/09/12,149.13,
2014/09/11,149.78,
2014/09/10,150.18,
2014/09/09,150.23,
2014/09/08,150.26,
2014/09/05,149.86,
2014/09/04,150.33,
2014/09/03,150.40,
2014/09/02,150.51,
2014/09/01,150.49,
2014/08/29,150.44,
2014/08/28,150.16,
2014/08/27,150.34,
2014/08/26,149.99,
2014/08/25,149.67,
2014/08/22,149.87,
2014/08/21,149.51,
2014/08/20,149.39,
2014/08/19,149.63,
2014/08/18,149.29,
2014/08/15,148.71,
2014/08/14,148.54,
2014/08/13,148.52,
2014/08/12,149.12,
2014/08/11,148.95,
2014/08/08,148.76,
2014/08/07,148.67,
2014/08/06,148.76,
2014/08/05,149.09,
2014/08/04,149.22,
2014/08/01,149.49,
2014/07/31,150.13,
2014/07/30,150.40,
2014/07/29,150.41,
2014/07/28,150.16,
2014/07/25,150.01,
2014/07/24,149.64,
2014/07/23,149.48,
2014/07/22,150.05,
2014/07/21,149.65,
2014/07/18,149.71,
2014/07/17,149.77,
2014/07/16,150.16,
2014/07/15,149.75,
2014/07/14,149.37,
2014/07/11,149.15,
2014/07/10,148.93,
2014/07/09,149.69,
2014/07/08,150.61,
2014/07/07,150.59,
2014/07/04,150.64,
2014/07/03,150.68,
2014/07/02,150.04,
2014/07/01,149.69,
2014/06/30,149.82,
2014/06/27,149.66,
2014/06/26,149.65,
2014/06/25,149.23,
2014/06/24,150.54,
2014/06/23,150.83,
2014/06/20,151.11,
2014/06/19,150.66,
2014/06/18,150.80,
2014/06/17,150.39,
2014/06/13,150.39,
2014/06/12,150.49,
2014/06/11,150.96,
2014/06/10,150.32,
2014/06/09,150.02,
2014/06/06,149.93,
2014/06/05,149.89,
2014/06/04,149.54,
2014/06/03,149.42,
2014/06/02,148.95,
2014/05/30,148.14,
2014/05/29,147.72,
2014/05/28,147.63,
2014/05/27,146.74,
2014/05/26,146.55,
2014/05/23,146.61,
2014/05/22,146.27,
2014/05/21,146.42,
2014/05/20,146.13,
2014/05/19,145.94,
2014/05/16,145.50,
2014/05/15,146.57,
2014/05/14,146.40,
2014/05/13,146.00,
2014/05/12,146.29,
2014/05/09,146.35,
2014/05/08,146.91,
2014/05/06,146.65,
2014/05/05,146.58,
2014/05/02,146.67,
2014/04/30,146.58,
2014/04/29,146.49,
2014/04/25,146.93,
2014/04/24,146.95,
2014/04/23,146.91,
2014/04/22,146.29,
2014/04/17,145.81,
2014/04/16,144.91,
2014/04/15,144.34,
2014/04/14,145.09,
2014/04/11,144.99,
2014/04/10,145.02,
2014/04/09,145.08,
2014/04/08,145.16,
2014/04/07,145.34,
